,Years,MAX,RoutesNbr,OS,Flash,RP,Region,<6a,6a-6c+,7a-7c+,=>8a,Grade,ID,Prediction
233,12,8.1,560,0.148,0.041,0.811,75,0,1,495,64,7.17,233,3
234,4,8.1,33,0.333,0.042,0.625,97,0,1,23,9,7.427,234,21
235,4,8,37,0.497,0,0.503,82,0,0,20,17,7.44,235,21
236,6,8.1,307,0.431,0.076,0.494,98,0,0,299,8,7.118,236,21
237,2,8.1,49,0.042,0.042,0.916,99,0,0,43,6,7.2,237,3
238,8,8.05,324,0.252,0.135,0.613,70,19,84,204,17,6.715,238,9
239,3,8.05,83,0.248,0.011,0.741,60,0,3,74,6,7.157,239,9
240,4,8.05,195,0.371,0.079,0.541,72,1,22,158,14,6.987,240,9
241,4,8.1,42,0,0.036,0.964,100,0,0,34,8,7.357,241,3
242,11,8.1,377,0.082,0.081,0.837,101,0,0,334,43,7.272,242,3
243,12,8.05,872,0.37,0.171,0.45,60,192,292,383,5,6.413,243,15
244,2,8.05,24,0.375,0.025,0.6,99,0,1,18,5,7.195,244,21
245,34,8.15,1535,0.325,0.036,0.638,58,0,0,1441,94,7.195,245,6
246,6,8.05,85,0.399,0.115,0.437,84,1,16,58,10,6.997,246,21
247,3,8,84,0.422,0.343,0.235,67,0,0,82,2,7.097,247,26
248,2,8,29,0.303,0.018,0.678,71,0,5,23,1,6.98,248,9
249,6,8.05,241,0.275,0.071,0.654,87,33,57,147,4,6.728,249,21
250,14,8.1,192,0.125,0.096,0.672,82,0,0,177,15,7.159,250,3
251,15,8.1,413,0.351,0.008,0.627,102,0,3,391,19,7.163,251,21
252,13,8.1,291,0.478,0.084,0.437,96,22,63,176,30,6.938,252,21
253,4,8,54,0.17,0.066,0.764,68,0,0,50,4,7.237,253,9
254,10,8,172,0.415,0.013,0.435,103,0,23,148,1,6.816,254,21
255,17,8.1,537,0.455,0.03,0.511,69,0,3,509,25,7.135,255,20
256,10,8.05,284,0.133,0.115,0.744,60,0,11,260,13,7.096,256,12
257,5,8,189,0.223,0.203,0.573,58,13,72,101,3,6.516,257,18
258,18,8.1,298,0.164,0.123,0.705,71,0,12,266,20,6.974,258,20
259,9,8.1,353,0.326,0.056,0.617,73,0,0,311,42,7.369,259,9
260,8,8.05,243,0.175,0.059,0.766,93,17,63,157,6,6.866,260,3
261,15,8.05,541,0.284,0.098,0.618,87,16,4,498,23,7.071,261,20
262,9,8,511,0.185,0.219,0.596,104,24,105,381,1,6.75,262,21
263,19,8.05,957,0.438,0.092,0.387,87,7,293,626,31,6.718,263,7
264,3,8,122,0.241,0.143,0.617,80,1,5,111,5,7.11,264,9
